model,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,cv_accuracy_mean,cv_accuracy_std
logistic_regression_baseline,0.7006396606896477,0.00273889394136552,0.8867369629084325,0.0012261823401458203,0.8011275589266781,0.001584187998095609
decision_tree_baseline,0.6964247182724114,0.001122114217471737,0.8860246510627938,0.00183874450775486,0.7964990620667156,0.005898996553195281
random_forest,0.7355884193775083,0.0015671640679285601,0.9098207002936851,0.0006661580108409383,0.8317837044286763,0.00132917765912826
extra_trees,0.7204504865959586,0.0011085886081629757,0.9017278014029455,0.0008378639070379573,0.8171233993964604,0.00042697152743193976
hist_gradient_boosting,0.7389335869044066,0.0013441110010769361,0.9143999912611177,0.0005146689471003401,0.8280319712910855,0.0009608144036647417
