feature,importance,importance_std
tag_count,0.09409446966027145,0.007183734640678315
game_age_years,0.05591302586343945,0.006946240968605276
has_trading_cards,0.02565268242670886,0.004414964622618824
price,0.01912898278353868,0.0059180541914693715
discount,0.017930762038889547,0.005066264508438656
supported_languages_count,0.0140729443355474,0.005082739291349463
achievements,0.012941769911534645,0.004949245325904935
metacritic_score,0.007495274200428906,0.0024711413419532357
about_word_count,0.00731320788553691,0.004426753560925597
has_family_sharing,0.006952901424383595,0.004795567829174886
has_steam_cloud,0.006769749168076836,0.0029700179328334794
about_length,0.006496141856635357,0.0031678808650046
is_action,0.005198755439176528,0.0018208516140037065
has_multiplayer,0.004194839244915774,0.0029250092491354086
is_indie,0.0038642213505662437,0.0024098970139234716
dlc_count,0.00377699880430607,0.0030433987967309023
is_simulation,0.003680989711853544,0.00257410351558071
has_support_url,0.0021401427600356016,0.0025113105960690805
is_rpg,0.0018307354929302938,0.001455256773353791
genre_count,0.0017921644199385134,0.00222230275310554
linux,0.001569572196007618,0.0012495457417849042
is_casual,0.0013949799832102538,0.0028823495497446376
is_adventure,0.0012584608088122978,0.0005017243022378456
release_year,0.0010895824632967122,0.0017255203469724873
full_audio_languages_count,0.0006861402516126214,0.0019665314947756615
category_count,0.0004014120565261903,0.0016671891401878797
is_strategy,0.0002656066784843397,0.0007916796855882425
has_coop,0.00020718576814815481,0.001175808929156943
mac,0.00011275745193735365,0.0023860622163282895
required_age,0.0001037540348232252,0.00024165707955805412
windows,0.0,0.0
has_achievements,0.0,0.0
log_achievements,0.0,0.0
has_metacritic,0.0,0.0
log_price,0.0,0.0
has_singleplayer,-0.0004015140840764181,0.001516824797703957
free_to_play,-0.0007502128116461254,0.0006150213276399357
has_steam_achievements,-0.000825189220555203,0.0009224455553646174
vr_supported,-0.00094424126022008,0.0010871779848060988
is_early_access,-0.0010266252835217093,0.0016945489599036671
has_website,-0.0012111789095285985,0.002492374525229441
