model,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
hist_gradient_boosting,0.8284875423072218,0.6792581636136079,0.8114720674187849,0.73950204384987,0.9155298331711436,14347,2819,1387,5970
random_forest,0.8307303347877503,0.6944916282455714,0.7780345249422319,0.7338931982819411,0.9116911444842833,14648,2518,1633,5724
extra_trees,0.8142967826122416,0.6613330263612294,0.7808889492999864,0.7161555721765146,0.9007882215019871,14224,2942,1612,5745
logistic_regression_baseline,0.8007992496839702,0.6381005586592179,0.7762675003398124,0.7004353958422763,0.8861998085014662,13927,3239,1646,5711
decision_tree_baseline,0.7949272111894956,0.6256748002591233,0.7876851977708305,0.6973945484084482,0.8880184008170005,13699,3467,1562,5795
